전라남도 여수시,586,213,57,202,305,17,89,143,76,129,70
전라남도 순천시,536,221,76,226,331,21,89,236,75,124,59
전라남도 나주시,206,35,17,36,80,2,15,112,13,38,13
전라남도 광양시,253,97,53,120,202,11,38,130,36,58,26
전라남도 담양군,79,26,3,15,33,2,9,32,7,27,6
전라남도 곡성군,103,9,2,10,24,0,8,11,7,19,7
전라남도 구례군,71,15,8,14,28,1,4,22,6,18,2
전라남도 고흥군,236,14,11,33,59,0,11,14,15,30,9
전라남도 보성군,157,13,6,18,40,1,11,13,11,13,7
전라남도 화순군,248,30,8,28,47,1,18,34,11,30,7
전라남도 장흥군,149,13,14,16,37,3,5,17,9,20,6
전라남도 강진군,122,13,9,16,27,1,5,16,7,15,3
전라남도 해남군,273,19,14,41,70,1,13,35,18,32,17
전라남도 영암군,138,17,12,51,63,1,16,34,10,33,8
전라남도 무안군,210,37,14,36,75,7,26,95,17,33,11
전라남도 함평군,125,2,7,13,20,0,5,13,4,19,4
전라남도 영광군,132,16,12,15,49,1,13,18,7,27,9
전라남도 장성군,101,11,6,14,36,0,8,24,8,25,5
전라남도 완도군,157,10,13,27,39,2,10,12,9,25,6
전라남도 진도군,129,5,4,17,22,0,8,11,3,16,5
전라남도 신안군,738,1,1,8,12,0,3,26,4,18,5
경상북도 포항시 남구,242,114,82,128,277,13,58,192,46,144,53
경상북도 포항시 북구,304,187,107,124,298,21,76,302,67,118,37
경상북도 경주시 ,298,201,59,186,319,14,63,232,136,174,36
경상북도 김천시 ,264,81,25,58,149,6,25,108,29,98,19
경상북도 안동시 ,252,82,64,115,189,8,30,128,42,99,27
경상북도 구미시 ,357,235,119,298,525,31,157,475,90,167,85
경상북도 영주시 ,172,44,58,50,143,6,18,78,27,68,20
경상북도 영천시 ,149,41,18,44,101,3,17,132,23,65,13
경상북도 상주시 ,249,30,19,45,121,1,11,90,17,80,12
경상북도 문경시 ,147,40,33,29,90,4,20,66,21,55,10
경상북도 경산시 ,376,167,44,144,381,14,80,281,59,148,63
경상북도 군위군,93,10,6,6,25,0,5,28,1,16,2
경상북도 의성군,187,8,7,8,62,1,7,20,11,36,4
경상북도 청송군,107,3,6,9,37,0,5,12,7,21,4
경상북도 영양군,47,5,5,3,20,0,1,3,3,11,3
경상북도 영덕군,106,16,11,22,46,3,10,45,12,26,8
경상북도 청도군,83,28,4,16,49,2,8,67,4,30,7
경상북도 고령군,60,11,8,10,31,0,10,30,12,25,3
경상북도 성주군,71,11,7,15,45,3,2,42,6,39,0
경상북도 칠곡군,117,56,27,93,168,9,27,118,24,78,18
경상북도 예천군,127,9,11,11,44,2,4,46,8,33,2
경상북도 봉화군,103,8,7,4,31,1,3,18,5,21,3
경상북도 울진군,111,14,25,27,53,2,14,20,10,34,11
경상북도 울릉군,45,2,1,5,18,1,3,3,6,9,3
경상남도 창원시 의창구,172,166,59,146,293,16,54,291,65,98,61
경상남도 창원시 성산구,104,161,64,139,240,18,64,251,58,80,47
경상남도 창원시 마산합포구,133,146,58,127,260,15,46,189,45,93,54
경상남도 창원시 마산회원구,171,95,58,111,265,8,60,158,41,105,65
경상남도 창원시 진해구,137,79,44,135,226,9,36,189,50,72,37
